date;RF;NoDur;Durbl;Manuf;Enrgy;HiTec;Telcm;Shops;Hlth;Utils;Other;Mkt-RF
19681228;0.0043;-0.0144;-0.0490;-0.0380;-0.0295;-0.0577;-0.0710;-0.0435;-0.0144;-0.0334;-0.0404;-0.0382
19690128;0.0053;-0.0179;-0.0226;-0.0099;-0.0166;-0.0520;0.0064;-0.0147;-0.0077;0.0190;0.0018;-0.012
19690228;0.0046;-0.0703;-0.0383;-0.0620;-0.0507;-0.0407;-0.0378;-0.0451;-0.0563;-0.0566;-0.0890;-0.0582
19690328;0.0046;0.0026;0.0469;0.0214;0.0648;0.0498;-0.0089;0.0443;0.0286;-0.0175;0.0030;0.0259
19690428;0.0053;0.0055;0.0053;0.0084;-0.0085;0.0342;0.0721;0.0346;0.0445;0.0080;0.0094;0.0152
19690528;0.0048;0.0075;-0.0029;-0.0137;0.0321;-0.0216;0.0059;0.0003;0.0120;-0.0046;-0.0177;0.0002
19690628;0.0051;-0.0776;-0.0642;-0.0746;-0.1025;-0.0067;-0.0450;-0.0678;-0.0557;-0.0624;-0.1064;-0.0725
19690728;0.0053;-0.0736;-0.0750;-0.0596;-0.1018;-0.0593;-0.0503;-0.0801;-0.0326;-0.0350;-0.1016;-0.0705
19690828;0.0050;0.0451;0.0214;0.0368;0.0608;0.0650;0.0116;0.0785;0.0879;-0.0180;0.0842;0.0465
19690928;0.0062;-0.0028;-0.0063;-0.0268;-0.1024;-0.0042;-0.0462;-0.0152;0.0146;-0.0476;-0.0116;-0.0288
19691028;0.0060;0.0774;0.0323;0.0612;-0.0162;0.0518;0.0289;0.0652;0.0838;0.0768;0.0707;0.0496
19691128;0.0052;-0.0288;-0.0492;-0.0394;-0.0505;-0.0231;0.0066;-0.0457;-0.0019;-0.0579;-0.0623;-0.0374
19691228;0.0064;-0.0259;-0.0410;-0.0204;-0.0367;-0.0138;-0.0616;-0.0363;0.0366;-0.0128;-0.0439;-0.0261
19700128;0.0060;-0.0487;-0.0878;-0.0793;-0.1203;-0.0966;-0.0314;-0.0653;-0.0770;-0.0482;-0.0940;-0.0793
19700228;0.0062;0.0403;0.0490;0.0451;0.0479;0.0234;0.0733;0.0522;0.0495;0.0774;0.0874;0.0505
19700328;0.0057;-0.0141;0.0449;-0.0085;-0.0101;-0.0314;0.0174;-0.0188;-0.0564;0.0234;-0.0257;-0.0104
19700428;0.0050;-0.1062;-0.0920;-0.0945;-0.0966;-0.1482;-0.0927;-0.1126;-0.1062;-0.0854;-0.1438;-0.1103
19700528;0.0053;-0.0796;-0.0703;-0.0805;0.0212;-0.1007;-0.0426;-0.0984;-0.0831;-0.0588;-0.0874;-0.0696
19700628;0.0058;-0.0200;-0.0464;-0.0542;-0.0311;-0.1234;-0.0907;-0.0442;-0.0108;-0.0528;-0.0748;-0.0569
19700728;0.0052;0.0608;0.1017;0.0459;0.1217;0.0183;0.0974;0.1046;0.0163;0.0818;0.0715;0.069
19700828;0.0053;0.0092;0.0769;0.0405;0.0602;0.0747;0.0198;0.0435;0.0127;0.0414;0.0484;0.0447
19700928;0.0054;0.0492;0.0207;0.0350;0.0265;0.0961;-0.0150;0.0709;0.0750;-0.0106;0.0711;0.0421
19701028;0.0046;0.0023;-0.0236;-0.0362;0.0241;-0.0395;-0.0421;-0.0187;-0.0022;-0.0128;-0.0660;-0.0228
19701128;0.0046;0.0437;0.0655;0.0342;0.0444;0.0360;0.0566;0.0584;0.0246;0.0892;0.0368;0.0458
19701228;0.0042;0.0695;0.0575;0.0756;0.0187;0.0399;0.0644;0.0502;0.0496;0.0676;0.0800;0.0565
19710128;0.0038;0.0444;0.0340;0.0553;-0.0002;0.0501;0.0940;0.0731;0.0448;0.0256;0.0771;0.0482
19710228;0.0033;0.0344;0.0195;0.0088;0.0443;0.0246;-0.0564;0.0332;0.0106;-0.0291;0.0195;0.0136
19710328;0.0030;0.0419;0.0305;0.0378;0.0246;0.0776;0.0039;0.0573;0.0336;0.0211;0.0601;0.0418
19710428;0.0028;0.0184;0.0836;0.0397;0.0401;0.0203;0.0053;0.0439;0.0394;-0.0381;0.0427;0.0305
19710528;0.0029;-0.0330;-0.0472;-0.0252;-0.0497;-0.0642;-0.0549;-0.0251;-0.0239;-0.0400;-0.0465;-0.0393
19710628;0.0037;-0.0054;-0.0108;-0.0001;0.0064;-0.0254;0.0068;-0.0026;0.0162;0.0392;-0.0138;-0.0006
19710728;0.0040;-0.0254;-0.0589;-0.0529;-0.0260;-0.0899;-0.0401;-0.0356;-0.0265;-0.0253;-0.0445;-0.0443
19710828;0.0047;0.0262;0.1026;0.0588;-0.0164;0.0523;-0.0079;0.0568;0.0280;-0.0279;0.0651;0.0378
19710928;0.0037;-0.0041;-0.0049;-0.0068;-0.0203;-0.0192;-0.0014;0.0031;0.0028;-0.0187;-0.0086;-0.0087
19711028;0.0037;-0.0470;-0.0559;-0.0644;-0.0464;-0.0473;-0.0211;-0.0415;-0.0287;0.0169;-0.0427;-0.0444
19711128;0.0037;-0.0072;-0.0005;-0.0135;-0.0028;0.0141;0.0001;-0.0031;0.0021;-0.0158;-0.0053;-0.005
19711228;0.0037;0.1012;0.0581;0.0951;0.0843;0.1087;0.0698;0.0943;0.0754;0.0772;0.0802;0.0876
19720128;0.0029;0.0222;0.0282;0.0298;-0.0003;0.0812;0.0063;-0.0038;0.0231;-0.0058;0.0325;0.0255
19720228;0.0025;0.0435;0.0058;0.0471;0.0238;0.0163;-0.0012;0.0547;0.0688;-0.0275;0.0173;0.0288
19720328;0.0027;-0.0017;0.0401;0.0219;-0.0575;0.0082;-0.0059;0.0174;0.0017;-0.0043;0.0216;0.006
19720428;0.0029;0.0163;-0.0089;0.0171;-0.0094;0.0045;-0.0134;-0.0082;0.0079;-0.0310;0.0147;0.0026
19720528;0.0030;0.0010;-0.0133;0.0160;0.0333;0.0341;0.0087;0.0086;0.0321;-0.0048;-0.0080;0.0134
19720628;0.0029;-0.0141;-0.0309;-0.0255;-0.0122;-0.0283;-0.0302;-0.0440;0.0222;-0.0183;-0.0474;-0.0238
19720728;0.0031;-0.0187;-0.0241;0.0017;-0.0143;0.0066;0.0044;-0.0284;0.0282;-0.0027;-0.0315;-0.0074
19720828;0.0029;-0.0045;0.0357;0.0201;0.1208;0.0255;0.0487;-0.0041;0.0076;0.0566;0.0319;0.0331
19720928;0.0034;-0.0299;-0.0122;-0.0157;-0.0058;-0.0150;0.0399;-0.0097;-0.0078;-0.0015;-0.0200;-0.0111
19721028;0.0040;-0.0034;-0.0286;0.0076;0.0265;-0.0371;0.0191;0.0066;0.0110;0.0635;0.0058;0.0047
19721128;0.0037;0.0644;0.0754;0.0384;0.0587;0.0214;0.0673;0.0577;-0.0093;0.0603;0.0471;0.0461
19721228;0.0037;0.0014;0.0130;0.0056;0.0067;0.0162;0.0110;0.0132;0.0337;-0.0191;-0.0108;0.0075
19730128;0.0044;-0.0522;-0.0703;-0.0414;0.0457;0.0151;-0.0254;-0.0482;-0.0163;-0.0470;-0.0785;-0.0321
19730228;0.0041;-0.0478;-0.0617;-0.0268;-0.0774;-0.0342;-0.0501;-0.0666;-0.0112;-0.0238;-0.0657;-0.0486
19730328;0.0046;-0.0148;-0.0336;-0.0068;0.0261;-0.0166;0.0010;-0.0589;0.0032;-0.0261;-0.0078;-0.0125
19730428;0.0052;-0.0667;-0.0559;-0.0495;-0.0149;-0.0719;0.0039;-0.0867;-0.0601;-0.0111;-0.0828;-0.0569
19730528;0.0051;-0.0256;-0.0476;-0.0165;-0.0403;-0.0308;-0.0132;-0.0246;0.0056;-0.0016;-0.0568;-0.0296
19730628;0.0051;-0.0394;-0.0301;-0.0089;0.0111;-0.0059;-0.0082;-0.0600;-0.0050;-0.0297;-0.0073;-0.0138
19730728;0.0064;0.0679;0.0667;0.0600;-0.0027;0.0433;-0.0106;0.1058;0.0622;-0.0303;0.0878;0.0507
19730828;0.0070;-0.0401;-0.0472;-0.0212;-0.0447;-0.0439;-0.0463;-0.0490;-0.0760;-0.0280;-0.0296;-0.0367
19730928;0.0068;0.0519;0.0691;0.0386;0.0859;-0.0354;0.0735;0.0675;0.0010;0.0721;0.0654;0.0472
19731028;0.0065;-0.0288;-0.0505;-0.0019;0.0446;0.0320;-0.0616;-0.0360;0.0118;-0.0404;-0.0181;-0.0068
19731128;0.0056;-0.1479;-0.1664;-0.1483;-0.0687;-0.1197;-0.0482;-0.1926;-0.0832;-0.1215;-0.1386;-0.1265
19731228;0.0064;-0.0220;-0.0459;0.0066;0.0804;-0.0496;0.0393;-0.0057;-0.0511;0.0276;0.0170;0.005
19740128;0.0063;0.0186;0.0572;-0.0019;-0.0812;0.0061;0.0137;0.0584;-0.0317;0.0394;0.0059;-0.0019
19740228;0.0058;-0.0059;-0.0153;-0.0057;-0.0215;-0.0117;0.0417;0.0075;-0.0180;-0.0028;0.0035;-0.0035
19740328;0.0056;-0.0246;-0.0062;-0.0134;-0.0376;-0.0332;-0.0513;-0.0342;0.0065;-0.0420;-0.0437;-0.029
19740428;0.0075;-0.0440;-0.0490;-0.0278;-0.0697;-0.0444;-0.0606;-0.0297;-0.0224;-0.1295;-0.0710;-0.0535
19740528;0.0075;-0.0367;-0.0021;-0.0329;-0.0813;-0.0498;-0.0227;0.0016;-0.0088;-0.0567;-0.0926;-0.0495
19740628;0.0060;-0.0118;-0.0309;-0.0104;-0.0100;-0.0350;-0.0029;-0.0351;-0.0221;-0.0680;-0.0604;-0.0289
19740728;0.0070;-0.1091;-0.1258;-0.0785;-0.0122;-0.0893;-0.0833;-0.1336;-0.1484;0.0006;-0.0726;-0.0779
19740828;0.0060;-0.1073;-0.0733;-0.1076;-0.0914;-0.0547;-0.0061;-0.1346;-0.0864;-0.0921;-0.1117;-0.0937
19740928;0.0081;-0.1297;-0.1371;-0.1364;-0.0877;-0.1759;-0.0460;-0.1317;-0.1636;-0.0211;-0.1021;-0.1178
19741028;0.0051;0.1518;0.0381;0.1551;0.2021;0.1418;0.1034;0.1040;0.2907;0.1246;0.1948;0.1605
19741128;0.0054;-0.0437;-0.0518;-0.0641;-0.0484;-0.0550;-0.0363;-0.0590;-0.0176;-0.0068;-0.0332;-0.0464
19741228;0.0070;-0.0124;-0.0466;-0.0516;0.0008;-0.0589;0.0089;-0.0449;-0.0402;-0.0153;-0.0482;-0.034
19750128;0.0058;0.1811;0.2110;0.1392;0.0634;0.1476;0.1049;0.2608;-0.0129;0.1836;0.1688;0.1356
19750228;0.0043;0.0361;0.0437;0.0754;0.0185;0.1267;0.0472;0.0450;0.1559;0.0045;0.0235;0.0543
19750328;0.0041;0.0662;0.0636;0.0469;-0.0277;0.0050;-0.0130;0.0985;0.0090;-0.0172;0.0368;0.0261
19750428;0.0044;0.0247;0.0388;0.0909;0.0670;0.0505;-0.0142;0.0237;0.0021;-0.0202;0.0273;0.042
19750528;0.0044;0.0487;0.0207;0.0233;0.1189;0.0552;0.0307;0.0392;0.0608;0.0803;0.0515;0.0508
19750628;0.0041;0.0474;0.0985;0.0313;0.0576;0.0188;0.0362;0.0675;0.0055;0.1036;0.0574;0.0475
19750728;0.0048;-0.0586;-0.0250;-0.0639;-0.0473;-0.0991;-0.0469;-0.0795;-0.1251;-0.0526;-0.0661;-0.0652
19750828;0.0048;-0.0349;-0.0406;-0.0126;-0.0140;-0.0345;-0.0404;-0.0036;-0.0380;-0.0172;-0.0585;-0.0284
19750928;0.0053;-0.0313;-0.0279;-0.0631;-0.0167;-0.0137;-0.0179;-0.0435;-0.0704;-0.0152;-0.0679;-0.0433
19751028;0.0056;0.1003;0.0833;0.0508;-0.0187;0.0783;0.0626;0.0923;0.1011;0.0602;0.0329;0.0504
19751128;0.0041;0.0367;0.0308;0.0264;-0.0205;0.0463;0.0386;0.0378;0.0473;0.0275;0.0324;0.0271
19751228;0.0048;-0.0195;-0.0102;-0.0179;-0.0038;-0.0172;-0.0059;-0.0349;-0.0682;0.0086;-0.0068;-0.0158
19760128;0.0047;0.1038;0.1517;0.1640;0.0801;0.1780;0.0900;0.0914;0.0727;0.0782;0.1231;0.1213
19760228;0.0034;-0.0139;0.0348;0.0143;-0.0344;0.0082;0.0324;0.0410;-0.0685;-0.0387;0.0284;0.0038
19760328;0.0040;0.0026;0.0318;0.0073;0.0682;0.0249;0.0018;0.0330;0.0612;0.0104;0.0151;0.0228
19760428;0.0042;-0.0206;0.0123;-0.0182;0.0184;-0.0383;0.0131;-0.0471;-0.0474;0.0022;-0.0206;-0.0147
19760528;0.0037;-0.0248;-0.0352;-0.0155;0.0505;0.0013;-0.0332;-0.0596;-0.0317;-0.0187;-0.0205;-0.0131
19760628;0.0043;0.0320;0.0375;0.0327;0.0463;0.0776;0.0313;0.0081;0.0325;0.0381;0.0515;0.0401
19760728;0.0047;0.0108;-0.0157;-0.0232;-0.0108;-0.0270;0.0078;-0.0288;-0.0085;0.0236;-0.0039;-0.0108
19760828;0.0042;-0.0073;-0.0180;-0.0212;-0.0129;-0.0129;0.0432;0.0250;0.0175;0.0254;-0.0162;-0.0056
19760928;0.0044;0.0107;0.0404;0.0060;0.0548;0.0242;0.0116;0.0010;0.0319;0.0364;0.0041;0.0201
19761028;0.0041;-0.0201;-0.0160;-0.0371;-0.0283;-0.0490;0.0088;-0.0070;-0.0415;-0.0121;-0.0101;-0.0245
19761128;0.0040;0.0134;-0.0111;-0.0082;0.0042;0.0125;0.0274;0.0405;-0.1011;0.0273;0.0183;0.0016
19761228;0.0040;0.0481;0.0920;0.0550;0.0595;0.0345;0.0303;0.0227;0.0586;0.0609;0.0781;0.0576
19770128;0.0036;-0.0435;-0.0465;-0.0631;-0.0006;-0.0421;-0.0025;-0.0757;-0.0918;0.0048;-0.0438;-0.0399
19770228;0.0035;-0.0175;-0.0386;-0.0100;-0.0332;-0.0099;0.0065;-0.0203;-0.0055;-0.0374;-0.0208;-0.0193
19770328;0.0038;-0.0175;-0.0377;-0.0074;-0.0245;-0.0041;-0.0142;-0.0307;-0.0218;-0.0018;-0.0038;-0.013
19770428;0.0038;0.0010;0.0267;0.0019;0.0220;-0.0383;0.0029;-0.0382;-0.0557;0.0157;0.0193;0.0012
19770528;0.0037;-0.0128;-0.0088;-0.0333;-0.0077;-0.0188;0.0107;-0.0345;-0.0226;0.0130;-0.0105;-0.0145
19770628;0.0040;0.0414;0.0378;0.0295;0.0568;0.0735;0.0151;0.0570;0.0862;0.0529;0.0484;0.0474
19770728;0.0042;0.0084;-0.0277;-0.0405;-0.0225;-0.0060;-0.0128;-0.0116;-0.0265;0.0045;-0.0064;-0.017
19770828;0.0044;-0.0034;-0.0121;-0.0168;-0.0620;0.0004;-0.0270;0.0403;0.0339;-0.0367;-0.0176;-0.0178
19770928;0.0043;-0.0023;0.0119;-0.0141;0.0030;-0.0220;0.0306;-0.0135;-0.0132;0.0158;-0.0041;-0.0027
19771028;0.0049;-0.0385;-0.0491;-0.0507;-0.0403;-0.0371;-0.0555;-0.0354;-0.0224;-0.0362;-0.0493;-0.0442
19771128;0.0050;0.0405;0.0133;0.0382;0.0301;0.0474;0.0167;0.0518;0.0558;0.0377;0.0588;0.0404
19771228;0.0049;-0.0049;-0.0118;0.0023;0.0136;0.0189;0.0166;-0.0182;0.0012;-0.0081;0.0016;0.0033
19780128;0.0049;-0.0574;-0.0732;-0.0648;-0.0743;-0.0524;-0.0465;-0.0766;-0.0236;-0.0501;-0.0570;-0.0601
19780228;0.0046;-0.0032;-0.0005;-0.0316;-0.0153;-0.0392;0.0367;-0.0108;-0.0345;-0.0088;-0.0052;-0.0139
19780328;0.0053;0.0363;0.0540;0.0338;0.0160;-0.0117;0.0207;0.0216;0.0365;0.0193;0.0493;0.0287
19780428;0.0054;0.0633;0.0887;0.1091;0.0623;0.1270;0.0236;0.1065;0.0868;-0.0038;0.0866;0.0775
19780528;0.0051;0.0378;-0.0063;0.0356;0.0043;0.0112;-0.0091;0.0023;0.0467;0.0019;0.0227;0.0181
19780628;0.0054;-0.0082;-0.0337;-0.0202;-0.0426;-0.0090;-0.0207;-0.0236;0.0058;0.0031;-0.0091;-0.0162
19780728;0.0056;0.0300;0.0398;0.0731;0.0283;0.0802;0.0086;0.0500;0.0830;0.0226;0.0587;0.0511
19780828;0.0055;0.0360;0.0221;0.0334;0.0461;0.0545;0.0300;0.0512;0.0046;-0.0011;0.0579;0.0369
19780928;0.0062;-0.0104;-0.0094;-0.0271;0.0404;-0.0478;0.0062;-0.0342;-0.0336;-0.0085;-0.0179;-0.0131
19781028;0.0068;-0.1220;-0.1173;-0.1199;-0.1131;-0.1148;-0.0513;-0.1439;-0.1354;-0.0777;-0.1487;-0.1178
19781128;0.0070;0.0152;-0.0003;0.0218;0.0542;0.0438;0.0228;0.0143;0.0448;0.0231;0.0192;0.0268
19781228;0.0078;0.0089;-0.0124;0.0065;0.0195;0.0563;-0.0069;-0.0159;0.0261;-0.0203;0.0058;0.0099
19790128;0.0077;0.0338;0.0393;0.0572;0.0250;0.0350;0.0288;0.0549;0.0066;0.0562;0.0509;0.0418
19790228;0.0073;-0.0422;-0.0405;-0.0520;-0.0026;-0.0402;-0.0135;-0.0489;-0.0523;-0.0235;-0.0400;-0.0341
19790328;0.0081;0.0328;0.0547;0.0654;0.0846;0.0675;-0.0067;0.0502;0.0423;0.0152;0.0744;0.0575
19790428;0.0080;-0.0061;0.0212;-0.0127;0.0353;-0.0050;-0.0297;-0.0009;-0.0036;-0.0353;0.0076;0.0005
19790528;0.0082;-0.0261;-0.0148;-0.0312;-0.0328;-0.0275;-0.0071;-0.0349;-0.0344;0.0064;-0.0103;-0.0218
19790628;0.0081;0.0242;0.0221;0.0272;0.0837;-0.0037;0.0107;0.0194;0.0400;0.0415;0.0623;0.0388
19790728;0.0077;0.0130;0.0089;0.0121;0.0095;-0.0228;-0.0088;0.0023;-0.0063;0.0131;0.0263;0.0073
19790828;0.0077;0.0679;0.0390;0.0692;0.0712;0.0515;0.0076;0.0809;0.0781;0.0126;0.0498;0.057
19790928;0.0083;-0.0271;-0.0042;-0.0154;0.0508;-0.0261;-0.0323;-0.0162;-0.0138;-0.0301;-0.0156;-0.0069
19791028;0.0087;-0.0850;-0.1024;-0.0971;-0.0345;-0.0861;-0.0591;-0.0999;-0.0521;-0.0666;-0.1095;-0.0813
19791128;0.0099;0.0417;-0.0377;0.0371;0.0798;0.0715;0.0301;0.0280;0.0776;0.0672;0.0612;0.0537
19791228;0.0095;0.0241;0.0254;0.0351;0.0144;0.0079;-0.0251;0.0213;0.0113;-0.0197;0.0316;0.0187
19800128;0.0080;0.0233;0.0799;0.0626;0.1323;0.0652;-0.0287;0.0050;-0.0207;0.0070;0.0458;0.0576
19800228;0.0089;-0.0576;-0.0716;-0.0338;0.1196;-0.0445;-0.0236;-0.0552;-0.0549;-0.0432;-0.0435;-0.0079
