,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
197001,-1.8169,-0.0502,-1.9481,-0.7982,1.274,-7.113,-6.6203,-1.5987,-3.3761,-1.8526,-10.3862,-6.2797,-7.6936,-4.3286,-3.9166,-8.6971,-11.2556,-7.0363,-5.7872,-5.3828,-8.9641,-7.4435,-7.125,-7.4624,-5.1834,0.586666667,-7.5
197002,2.7243,3.8698,2.635,2.7352,3.7646,2.5761,3.1588,2.4936,7.9106,7.7648,3.2919,2.3734,6.1749,5.0863,7.3768,3.8056,3.7796,6.0318,9.1283,7.4137,5.7929,6.3946,8.9846,8.4223,8.0522,0.62,5.75
197003,-6.1786,-4.689,-1.5419,-0.0633,-1.1187,-6.3839,-1.8942,-0.1472,0.0135,0.863,-4.2662,-0.2344,-1.3091,1.5882,1.6566,-4.4798,0.6735,1.5774,0.2271,2.0661,-2.7374,-0.9974,1.0007,0.1884,-0.0412,0.596666667,-0.49
197004,-23.866,-19.1903,-17.4972,-14.1841,-12.3869,-22.3551,-17.2959,-14.2937,-10.7915,-11.0285,-20.6668,-14.0877,-13.4851,-9.6263,-10.7853,-16.3088,-14.6761,-10.1798,-10.07,-9.6141,-12.4892,-10.8508,-9.8817,-7.4791,-8.4451,0.563333333,-10.5
197005,-8.1272,-9.048,-8.926,-8.3871,-10.6647,-10.8179,-8.5563,-11.0773,-8.4946,-8.0693,-11.3621,-11.0592,-13.267,-6.9351,-7.8607,-11.13,-10.3603,-7.8953,-7.831,-9.126,-9.4439,-6.2346,-6.2227,-3.2903,-5.5772,0.533333333,-6.39
197006,-12.2902,-9.7681,-7.6287,-7.8773,-5.2219,-11.4895,-8.6254,-8.3789,-8.1957,-7.1615,-9.2111,-5.1097,-7.0921,-5.884,-7.2789,-4.46,-5.5918,-4.5866,-3.8915,-11.8702,-5.21,-5.4617,-3.1771,-2.7607,-10.0538,0.536666667,-5.21
197007,4.4568,3.1145,4.2823,5.2058,3.1514,6.581,7.4575,5.4433,10.7963,8.1079,8.9443,6.4169,9.3044,5.5114,7.9549,6.4229,8.5546,8.4887,9.6111,11.2075,5.2417,8.0256,8.7478,8.3838,6.7018,0.543333333,7.45
197008,6.5684,6.8637,6.8232,7.0082,5.7036,9.4503,9.368,6.2769,7.569,4.9029,5.828,7.3836,5.9274,6.2637,7.9272,4.6991,8.3548,4.234,5.4296,6.5551,4.4436,3.7867,4.2655,5.5249,5.9159,0.543333333,5.02
197009,24.3081,19.3789,18.1108,12.9201,14.1875,18.9916,18.9597,10.1406,6.9945,9.9842,15.6871,9.7131,8.6579,5.3627,6.3085,10.6858,5.895,5.1694,4.1256,8.0399,7.1417,3.6086,0.7482,0.9728,3.8108,0.53,4.72
197010,-11.3639,-8.9474,-11.3751,-7.3194,-5.9564,-4.7049,-9.1602,-6.1615,-3.6506,-4.6504,-5.9103,-3.8531,-5.2768,-3.1264,-4.0874,-2.983,-3.1915,-3.5524,-2.8468,-6.0646,-1.2653,-0.7386,-3.2418,-1.1335,-4.1386,0.51,-1.82
