,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
198401,-2.0056,-0.9415,0.2703,1.2266,3.2003,-6.3152,-1.3298,-0.5885,0.2505,3.5109,-6.9955,-4.6202,-2.3748,0.3676,-0.1635,-7.6102,-3.636,-1.4003,-0.3724,0.4633,-5.6926,-0.7383,1.0673,1.7077,6.9788,0.73,-1.16
198402,-7.4899,-6.9121,-5.3491,-4.2482,-4.6785,-7.1849,-6.0016,-3.853,-3.2079,-3.8666,-6.7913,-7.1379,-4.6963,-4.6678,-2.3368,-5.7322,-5.7593,-6.062,-3.2024,-4.699,-3.7677,-6.0673,-4.3581,-2.2313,0.6789,0.733333333,-4.11
198403,-1.1551,1.4861,0.5785,1.6136,2.1012,-0.2792,1.2842,0.9482,1.2267,2.0378,0.6225,1.4558,2.317,1.3562,3.3602,0.5757,0.9764,2.4566,1.5358,4.2434,1.7899,2.8439,0.1493,1.8523,-1.4558,0.733333333,1.36
198404,-4.1428,-1.818,-0.6557,-0.0078,-0.9481,-1.2839,1.4723,0.602,0.1433,-1.1364,-0.004,1.1005,-0.076,-1.2132,0.1565,-1.3056,-0.3607,-0.8112,-2.5335,-1.8442,1.4271,-0.4712,1.32,1.5755,2.4265,0.75,0.3
198405,-6.0718,-4.6267,-4.82,-3.4695,-3.5759,-6.1029,-5.0529,-5.0608,-4.006,-4.0183,-5.8839,-5.5803,-5.6302,-4.0441,-6.4848,-3.8707,-4.6011,-4.8628,-5.2956,-7.5474,-5.2046,-3.1392,-6.2272,-4.1387,-6.0545,0.773333333,-5.19
198406,1.125,3.3541,2.1777,1.5818,1.275,3.9809,4.6784,1.9103,2.7867,1.0506,6.4231,5.0075,0.9716,1.5662,-0.5408,5.9044,4.6408,1.6065,1.947,2.5471,3.4786,5.5432,1.9656,-1.2006,5.3403,0.78,2.57
198407,-7.246,-5.1293,-4.4126,-1.8642,-2.1583,-5.3328,-5.6398,-1.3716,-3.8679,-3.6762,-3.6994,-3.2754,-2.9323,-2.9173,-0.9954,-3.5121,-5.0595,-2.5122,-4.5643,-0.4935,0.311,-1.437,0.1004,-3.2248,-2.3278,0.783333333,-1.92
198408,11.4629,11.6791,8.6255,7.2096,8.647,15.7963,10.5096,9.9994,9.4193,10.3092,15.6538,13.1148,10.6663,11.8141,9.4157,12.7014,13.4359,12.4254,11.258,9.9794,10.7691,10.172,10.5129,11.408,12.5003,0.8,11.11
198409,-2.5839,-1.5241,0.5982,1.2841,2.4028,-5.45,0.2776,2.0279,1.519,3.2234,-4.0907,1.7992,1.7919,2.3551,3.4279,-1.4997,-1.574,0.6593,1.4567,4.4734,-2.7789,-1.6865,-0.4132,1.9203,3.2439,0.836666667,0.06
198410,-3.8325,-1.2348,-2.0968,-1.5695,-1.2851,-3.0167,-1.7524,-0.5899,0.9084,0.9995,-1.6972,-0.6031,1.5985,-1.8491,1.4921,-0.5059,-0.0149,0.6914,0.1693,1.6904,0.8799,2.8554,1.5231,-0.6676,-1.5843,0.896666667,0.16
198411,-5.7304,-4.0248,-1.255,-1.5913,-0.9322,-5.8247,-2.1138,-0.1416,0.044,1.2457,-3.9936,0.6378,1.3356,1.3811,1.874,-3.6514,-0.5173,-1.0007,0.5507,2.0313,-2.4611,-0.9705,-1.8128,-0.5886,1.4332,0.863333333,-1.03
198412,0.5674,0.7701,0.9019,0.4929,0.7588,2.0244,2.2302,1.7009,2.5349,2.5667,4.5221,3.5677,0.8672,1.5952,2.1568,3.3022,1.9266,2.2277,2.9831,3.5314,2.5833,2.3699,2.9074,3.117,1.2162,0.79,2.48
198501,16.013,14.63,10.6003,10.1315,8.487,16.1474,13.0793,8.8345,9.9612,8.7143,13.943,10.28,9.7521,8.8526,7.9383,12.185,12.8652,8.4275,8.0783,6.4025,9.537,7.9573,7.6769,6.8028,4.2824,0.673333333,8.64
198502,3.7041,4.9925,3.4263,2.7473,3.7328,2.8088,3.1335,2.6599,1.9129,0.9396,2.1064,0.9234,1.4533,1.6521,-0.6134,2.6836,-1.0891,2.0029,2.5978,1.1719,0.1852,2.6773,1.6665,2.5326,2.7163,0.623333333,1.8
198503,-2.6739,-2.9515,-1.5316,-1.2538,-0.2578,-4.8424,-3.4946,-0.837,0.36,3.0903,-4.3822,-1.2376,-2.0347,0.9724,3.7345,-2.6693,-2.3915,0.1037,1.1209,4.3029,-1.5582,1.0404,-0.5861,1.2452,1.5492,0.616666667,-0.22
