date,Mkt-RF,SMB,HML,RF,Mkt
197304,-5.68,-4,5.69,0.52,-5.16
197305,-2.94,-6.13,0.21,0.51,-2.43
197306,-1.56,-2.95,1.44,0.51,-1.05
197307,5.05,7.94,-5.31,0.64,5.69
197308,-3.82,-2.01,1.14,0.7,-3.12
197309,4.75,2.92,2.18,0.68,5.43
197310,-0.83,-0.23,1.74,0.65,-0.18
197311,-12.75,-7.74,4.04,0.56,-12.19
197312,0.61,-5.26,4.09,0.64,1.25
197401,-0.17,9.77,5.99,0.63,0.46
197402,-0.47,0.08,2.54,0.58,0.11
197403,-2.81,2.49,-0.11,0.56,-2.25
197404,-5.29,-0.65,1.06,0.75,-4.54
197405,-4.68,-2.98,-2.04,0.75,-3.93
197406,-2.83,-0.2,0.79,0.6,-2.23
197407,-8.05,0.92,5.14,0.7,-7.35
197408,-9.35,-0.68,2.5,0.6,-8.75
197409,-11.77,0.27,5.49,0.81,-10.96
197410,16.1,-3.52,-9.99,0.51,16.61
197411,-4.51,-1.17,-0.16,0.54,-3.97
197412,-3.45,-4.84,0,0.7,-2.75
197501,13.66,11.01,8.44,0.58,14.24
197502,5.56,0.16,-4.56,0.43,5.99
197503,2.66,3.76,2.49,0.41,3.07
197504,4.23,-0.53,-1.11,0.44,4.67
197505,5.19,3.83,-4.02,0.44,5.63
197506,4.83,0.77,1.32,0.41,5.24
197507,-6.59,2.68,1.68,0.48,-6.11
197508,-2.85,-3.24,-0.8,0.48,-2.37
197509,-4.26,-0.13,0.36,0.53,-3.73
197510,5.31,-4.03,0.33,0.56,5.87
197511,2.65,-1.18,1.98,0.41,3.06
197512,-1.6,-0.75,1.73,0.48,-1.12
197601,12.16,4.81,8.57,0.47,12.63
197602,0.32,7.04,5.76,0.34,0.66
197603,2.33,-1.19,-0.02,0.4,2.73
197604,-1.49,-0.04,-0.07,0.42,-1.07
197605,-1.34,-1.24,-1.32,0.37,-0.97
197606,4.05,-1.35,0.69,0.43,4.48
197607,-1.07,0.3,1.7,0.47,-0.6
197608,-0.56,-2.02,0.8,0.42,-0.14
197609,2.06,0,-0.3,0.44,2.5
197610,-2.42,0.23,-0.07,0.41,-2.01
197611,0.36,2.31,1.52,0.4,0.76
197612,5.65,3,2.23,0.4,6.05
197701,-4.05,4.77,4.27,0.36,-3.69
197702,-1.95,1.08,0.51,0.35,-1.6
197703,-1.37,0.99,1,0.38,-0.99
197704,0.15,-0.12,3.44,0.38,0.53
197705,-1.46,1.17,0.86,0.37,-1.09
197706,4.71,2.13,-0.67,0.4,5.11
197707,-1.69,2.12,-0.6,0.42,-1.27
197708,-1.75,1.51,-2.79,0.44,-1.31
197709,-0.27,1.45,-0.49,0.43,0.16
197710,-4.38,1.27,1.72,0.49,-3.89
197711,4,3.74,0.29,0.5,4.5
197712,0.27,1.36,-0.39,0.49,0.76
197801,-6.01,2.22,3.31,0.49,-5.52
197802,-1.38,3.59,0.75,0.46,-0.92
197803,2.85,3.49,1.19,0.53,3.38
197804,7.88,0.4,-3.56,0.54,8.42
197805,1.76,4.56,-0.63,0.51,2.27
